sex,age,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122
Females,0,291308,278859,280280,283330,285407,286511,286944,287296,287616,287920,288231,288709,289415,290214,291098,292106,293264,294468,295609,296668,297637,298325,298647,298744,298661,298443,297699,296350,294829,293211,291572,289872,288124,286507,285124,283994,283034,282245,281677,281317,281162,281112,281135,281319,281630,282010,282438,282866,283288,283717,284108,284445,284717,284911,285017,285031,284946,284758,284465,284076,283602,283054,282449,281801,281137,280472,279830,279221,278655,278152,277717,277354,277067,276851,276705,276625,276604,276632,276696,276789,276901,277020,277137,277242,277329,277390,277420,277413,277369,277285,277161,276999,276801,276572,276317,276041,275750,275449,275148,274851,274563
Females,1,289614,295141,282085,283143,285824,287534,288271,288707,289063,289384,289691,290004,290485,291192,291993,292878,293887,295046,296251,297393,298452,299421,300111,300434,300532,300452,300235,299493,298146,296628,295012,293376,291679,289934,288319,286939,285810,284852,284065,283499,283141,282986,282937,282961,283147,283458,283838,284267,284696,285119,285547,285939,286278,286550,286746,286853,286867,286784,286596,286304,285918,285444,284898,284293,283648,282985,282321,281681,281072,280508,280006,279572,279210,278924,278709,278564,278484,278465,278494,278557,278651,278763,278883,279001,279108,279194,279257,279287,279281,279237,279155,279030,278869,278671,278445,278190,277915,277623,277324,277023,276728
Females,2,300486,294619,299345,285816,286403,288609,289845,290583,291020,291377,291698,292005,292320,292802,293509,294311,295195,296205,297364,298568,299710,300769,301739,302429,302753,302852,302772,302557,301815,300470,298954,297339,295706,294011,292269,290655,289278,288150,287192,286407,285842,285484,285331,285283,285307,285493,285805,286185,286614,287043,287466,287894,288286,288625,288898,289095,289203,289217,289134,288947,288656,288270,287798,287253,286649,286005,285343,284681,284041,283432,282869,282369,281935,281574,281288,281074,280930,280850,280831,280861,280923,281017,281131,281251,281369,281476,281562,281626,281657,281651,281608,281526,281401,281241,281044,280818,280564,280288,279998,279699,279399
Females,3,305485,304576,297884,302156,288177,288314,290067,291303,292041,292479,292836,293158,293467,293781,294263,294971,295772,296656,297666,298825,300029,301171,302229,303199,303889,304215,304315,304235,304021,303281,301937,300421,298810,297178,295486,293744,292134,290758,289630,288674,287891,287326,286969,286817,286769,286795,286981,287292,287672,288101,288530,288954,289382,289774,290113,290386,290584,290692,290706,290625,290438,290147,289762,289291,288747,288144,287502,286840,286179,285539,284931,284369,283871,283437,283077,282791,282578,282433,282354,282336,282367,282429,282523,282638,282757,282875,282981,283067,283133,283164,283160,283116,283034,282910,282750,282553,282328,282074,281800,281511,281213
Females,4,310206,309213,307463,300329,304155,289733,289429,291182,292417,293157,293595,293952,294275,294584,294899,295381,296088,296889,297773,298783,299943,301146,302288,303345,304315,305006,305333,305433,305354,305141,304402,303058,301544,299935,298305,296614,294875,293266,291890,290764,289810,289027,288464,288108,287956,287909,287935,288120,288431,288812,289241,289670,290094,290521,290913,291252,291526,291725,291833,291848,291767,291581,291290,290905,290436,289892,289290,288649,287988,287327,286688,286081,285520,285022,284590,284230,283944,283732,283588,283508,283491,283523,283585,283679,283794,283912,284030,284137,284224,284290,284322,284318,284274,284193,284069,283909,283712,283488,283233,282961,282673
Females,5,318012,313788,311980,309801,302243,305639,290790,290490,292243,293478,294220,294657,295014,295339,295647,295962,296443,297151,297953,298836,299846,301006,302208,303350,304406,305377,306069,306396,306497,306418,306206,305467,304124,302612,301005,299376,297686,295949,294341,292967,291842,290887,290105,289544,289188,289037,288990,289016,289201,289512,289892,290321,290751,291175,291602,291994,292334,292608,292807,292915,292931,292850,292664,292374,291990,291521,290978,290377,289735,289075,288415,287777,287170,286610,286114,285681,285322,285036,284824,284680,284601,284584,284616,284678,284772,284886,285006,285124,285232,285319,285385,285417,285413,285370,285289,285165,285005,284809,284584,284330,284058
Females,6,326420,321388,316399,314189,311609,303652,306646,291799,291504,293256,294491,295232,295672,296028,296352,296661,296976,297458,298167,298967,299850,300860,302020,303222,304364,305420,306391,307083,307411,307512,307433,307222,306483,305142,303631,302025,300396,298708,296972,295366,293992,292868,291914,291133,290572,290217,290066,290019,290046,290231,290541,290922,291351,291781,292205,292632,293025,293365,293639,293838,293947,293963,293882,293697,293405,293022,292554,292012,291411,290769,290111,289451,288813,288207,287647,287152,286719,286360,286075,285863,285721,285641,285624,285656,285718,285812,285926,286046,286164,286272,286360,286425,286457,286454,286413,286332,286208,286048,285852,285628,285373
Females,7,324199,329678,323929,318562,315972,313013,304679,307675,292832,292539,294291,295525,296269,296707,297063,297388,297697,298012,298495,299203,300002,300886,301896,303056,304257,305398,306455,307426,308119,308447,308548,308470,308259,307521,306180,304671,303066,301438,299751,298016,296411,295039,293915,292963,292182,291621,291266,291115,291069,291097,291281,291592,291973,292402,292832,293256,293683,294076,294416,294690,294890,294999,295016,294935,294750,294458,294076,293608,293066,292465,291825,291167,290508,289872,289265,288705,288210,287779,287420,287134,286923,286781,286701,286684,286717,286778,286872,286986,287107,287225,287334,287422,287487,287519,287516,287476,287395,287271,287111,286915,286691
Females,8,326397,327353,332169,326065,320344,317399,314086,305756,308755,293915,293625,295376,296611,297354,297793,298150,298475,298783,299098,299581,300288,301089,301972,302983,304142,305343,306484,307540,308511,309203,309532,309633,309557,309346,308609,307268,305761,304157,302530,300845,299112,297507,296135,295013,294062,293281,292722,292367,292215,292169,292197,292382,292694,293075,293504,293934,294358,294785,295179,295519,295793,295993,296102,296119,296039,295854,295562,295180,294712,294171,293572,292932,292275,291617,290980,290373,289814,289321,288890,288530,288245,288034,287892,287811,287796,287829,287890,287984,288098,288220,288338,288448,288536,288601,288632,288629,288589,288508,288385,288225,288029
Females,9,334323,329363,329717,334202,327771,321725,318453,315143,306817,309818,294982,294693,296445,297679,298424,298863,299220,299545,299852,300167,300651,301358,302158,303042,304053,305212,306412,307552,308608,309578,310270,310601,310703,310626,310417,309680,308340,306833,305231,303606,301922,300189,298585,297215,296093,295144,294364,293806,293449,293298,293252,293281,293466,293778,294159,294588,295018,295443,295870,296264,296604,296878,297077,297187,297203,297125,296940,296648,296266,295800,295260,294661,294021,293366,292706,292071,291464,290906,290413,289982,289623,289338,289127,288986,288905,288891,288923,288984,289078,289192,289314,289433,289543,289631,289696,289727,289724,289684,289604,289482,289321
