"","date","type","planned_or_outtrun","budget_type","cash_values","real_values","deflator_index"
"1",2020,"fyear","outtrun","dhsc_tdel",190610,229145.769173605,1.20217076320028
"2",2020,"fyear","outtrun","cdel",12704,15272.3773756963,1.20217076320028
"3",2020,"fyear","outtrun","dhsc_rdel",177906,213873.391797908,1.20217076320028
"4",2020,"fyear","outtrun","nhse_rdel",146018,175538.570500978,1.20217076320028
"5",2020,"fyear","outtrun","pensions",2851,3427.38884588399,1.20217076320028
"6",2020,"fyear","outtrun","nics",0,0,1.20217076320028
"7",2020,"fyear","outtrun","adjustments",0,0,1.20217076320028
"8",2020,"fyear","outtrun","other_rdel",31888,38334.8212969304,1.20217076320028
"9",2020,"fyear","outtrun","dhsc_rdel_less_pensions",175055,210446.002952024,1.20217076320028
"10",2020,"fyear","outtrun","nhse_rdel_less_pensions",143167,172111.181655094,1.20217076320028
"11",2020,"fyear","outtrun","dhsc_tdel_less_pensions",187759,225718.380327721,1.20217076320028
"12",2021,"fyear","outtrun","dhsc_tdel",187274,224598.448636889,1.19930395376234
"13",2021,"fyear","outtrun","cdel",9119,10936.4527543588,1.19930395376234
"14",2021,"fyear","outtrun","dhsc_rdel",178155,213661.99588253,1.19930395376234
"15",2021,"fyear","outtrun","nhse_rdel",152317,182674.380325219,1.19930395376234
"16",2021,"fyear","outtrun","pensions",2851,3419.21557217644,1.19930395376234
"17",2021,"fyear","outtrun","nics",0,0,1.19930395376234
"18",2021,"fyear","outtrun","adjustments",0,0,1.19930395376234
"19",2021,"fyear","outtrun","other_rdel",25838,30987.6155573114,1.19930395376234
"20",2021,"fyear","outtrun","dhsc_rdel_less_pensions",175304,210242.780310354,1.19930395376234
"21",2021,"fyear","outtrun","nhse_rdel_less_pensions",149466,179255.164753042,1.19930395376234
"22",2021,"fyear","outtrun","dhsc_tdel_less_pensions",184423,221179.233064712,1.19930395376234
"23",2022,"fyear","outtrun","dhsc_tdel",182131,204085.37555282,1.12054167359109
"24",2022,"fyear","outtrun","cdel",9848,11035.0944015251,1.12054167359109
"25",2022,"fyear","outtrun","dhsc_rdel",172283,193050.281151295,1.12054167359109
"26",2022,"fyear","outtrun","nhse_rdel",160939,180338.856406077,1.12054167359109
"27",2022,"fyear","outtrun","pensions",2851,3194.66431140821,1.12054167359109
"28",2022,"fyear","outtrun","nics",0,0,1.12054167359109
"29",2022,"fyear","outtrun","adjustments",0,0,1.12054167359109
"30",2022,"fyear","outtrun","other_rdel",11344,12711.4247452174,1.12054167359109
"31",2022,"fyear","outtrun","dhsc_rdel_less_pensions",169432,189855.616839886,1.12054167359109
"32",2022,"fyear","outtrun","nhse_rdel_less_pensions",158088,177144.192094669,1.12054167359109
"33",2022,"fyear","outtrun","dhsc_tdel_less_pensions",179280,200890.711241411,1.12054167359109
