"","start_year","end_year","budget_type","money","type","start_planned_outtrun","start_year_value","end_planned_outtrun","end_year_value","cagr"
"1",2013,2014,"dhsc_tdel","real_values","fyear","outtrun",153771.749920612,"outtrun",156559.532831336,0.0181293567392109
"2",2013,2015,"dhsc_tdel","real_values","fyear","outtrun",153771.749920612,"outtrun",160829.93919881,0.0226927343669332
"3",2014,2015,"dhsc_tdel","real_values","fyear","outtrun",156559.532831336,"outtrun",160829.93919881,0.0272765655993328
"4",2013,2016,"dhsc_tdel","real_values","fyear","outtrun",153771.749920612,"outtrun",162159.350316493,0.0178610123578407
"5",2014,2016,"dhsc_tdel","real_values","fyear","outtrun",156559.532831336,"outtrun",162159.350316493,0.0177268666907511
"6",2015,2016,"dhsc_tdel","real_values","fyear","outtrun",160829.93919881,"outtrun",162159.350316493,0.00826594304707706
"7",2013,2017,"dhsc_tdel","real_values","fyear","outtrun",153771.749920612,"outtrun",166203.1756148,0.0196255045343641
"8",2014,2017,"dhsc_tdel","real_values","fyear","outtrun",156559.532831336,"outtrun",166203.1756148,0.0201247088841949
"9",2015,2017,"dhsc_tdel","real_values","fyear","outtrun",160829.93919881,"outtrun",166203.1756148,0.0165674738468846
"10",2016,2017,"dhsc_tdel","real_values","fyear","outtrun",162159.350316493,"outtrun",166203.1756148,0.0249373550795273
"11",2013,2018,"dhsc_tdel","real_values","fyear","outtrun",153771.749920612,"outtrun",166706.034051496,0.0162836825774104
"12",2014,2018,"dhsc_tdel","real_values","fyear","outtrun",156559.532831336,"outtrun",166706.034051496,0.0158227870639083
"13",2015,2018,"dhsc_tdel","real_values","fyear","outtrun",160829.93919881,"outtrun",166706.034051496,0.0120333105667383
"14",2016,2018,"dhsc_tdel","real_values","fyear","outtrun",162159.350316493,"outtrun",166706.034051496,0.0139222698066404
"15",2017,2018,"dhsc_tdel","real_values","fyear","outtrun",166203.1756148,"outtrun",166706.034051496,0.00302556455275438
"16",2013,2019,"dhsc_tdel","real_values","fyear","outtrun",153771.749920612,"outtrun",175146.257534062,0.0219289857213423
"17",2014,2019,"dhsc_tdel","real_values","fyear","outtrun",156559.532831336,"outtrun",175146.257534062,0.022690611439683
"18",2015,2019,"dhsc_tdel","real_values","fyear","outtrun",160829.93919881,"outtrun",175146.257534062,0.0215473253134637
"19",2016,2019,"dhsc_tdel","real_values","fyear","outtrun",162159.350316493,"outtrun",175146.257534062,0.0260132171073886
"20",2017,2019,"dhsc_tdel","real_values","fyear","outtrun",166203.1756148,"outtrun",175146.257534062,0.026551571541106
"21",2018,2019,"dhsc_tdel","real_values","fyear","outtrun",166706.034051496,"outtrun",175146.257534062,0.0506293820172012
"22",2013,2020,"dhsc_tdel","real_values","fyear","outtrun",153771.749920612,"outtrun",229145.769173605,0.0586390214685615
"23",2014,2020,"dhsc_tdel","real_values","fyear","outtrun",156559.532831336,"outtrun",229145.769173605,0.0655456351330266
"24",2015,2020,"dhsc_tdel","real_values","fyear","outtrun",160829.93919881,"outtrun",229145.769173605,0.0733688536877879
"25",2016,2020,"dhsc_tdel","real_values","fyear","outtrun",162159.350316493,"outtrun",229145.769173605,0.090291087115375
"26",2017,2020,"dhsc_tdel","real_values","fyear","outtrun",166203.1756148,"outtrun",229145.769173605,0.112988922494509
"27",2018,2020,"dhsc_tdel","real_values","fyear","outtrun",166706.034051496,"outtrun",229145.769173605,0.17241201820128
"28",2019,2020,"dhsc_tdel","real_values","fyear","outtrun",175146.257534062,"outtrun",229145.769173605,0.308310964789194
"29",2013,2021,"dhsc_tdel","real_values","fyear","outtrun",153771.749920612,"outtrun",224598.448636889,0.0484947843277215
"30",2014,2021,"dhsc_tdel","real_values","fyear","outtrun",156559.532831336,"outtrun",224598.448636889,0.052906010988014
"31",2015,2021,"dhsc_tdel","real_values","fyear","outtrun",160829.93919881,"outtrun",224598.448636889,0.0572393257706449
"32",2016,2021,"dhsc_tdel","real_values","fyear","outtrun",162159.350316493,"outtrun",224598.448636889,0.0673158313066389
"33",2017,2021,"dhsc_tdel","real_values","fyear","outtrun",166203.1756148,"outtrun",224598.448636889,0.0781814576759488
"34",2018,2021,"dhsc_tdel","real_values","fyear","outtrun",166706.034051496,"outtrun",224598.448636889,0.104464626100129
"35",2019,2021,"dhsc_tdel","real_values","fyear","outtrun",175146.257534062,"outtrun",224598.448636889,0.1324080425215
"36",2020,2021,"dhsc_tdel","real_values","fyear","outtrun",229145.769173605,"outtrun",224598.448636889,-0.0198446628672889
"37",2013,2022,"dhsc_tdel","real_values","fyear","outtrun",153771.749920612,"outtrun",204085.37555282,0.0319519616089012
"38",2014,2022,"dhsc_tdel","real_values","fyear","outtrun",156559.532831336,"outtrun",204085.37555282,0.0336929302970954
"39",2015,2022,"dhsc_tdel","real_values","fyear","outtrun",160829.93919881,"outtrun",204085.37555282,0.0346128195617996
"40",2016,2022,"dhsc_tdel","real_values","fyear","outtrun",162159.350316493,"outtrun",204085.37555282,0.0390704198325649
"41",2017,2022,"dhsc_tdel","real_values","fyear","outtrun",166203.1756148,"outtrun",204085.37555282,0.0419203333558575
"42",2018,2022,"dhsc_tdel","real_values","fyear","outtrun",166706.034051496,"outtrun",204085.37555282,0.0518774413740062
"43",2019,2022,"dhsc_tdel","real_values","fyear","outtrun",175146.257534062,"outtrun",204085.37555282,0.0522937905370262
"44",2020,2022,"dhsc_tdel","real_values","fyear","outtrun",229145.769173605,"outtrun",204085.37555282,-0.0562650889837856
"45",2021,2022,"dhsc_tdel","real_values","fyear","outtrun",224598.448636889,"outtrun",204085.37555282,-0.0913322118143077
"46",2013,2023,"dhsc_tdel","real_values","fyear","outtrun",153771.749920612,"outtrun",200764.306469662,0.0270249508929845
"47",2014,2023,"dhsc_tdel","real_values","fyear","outtrun",156559.532831336,"outtrun",200764.306469662,0.0280181355615392
"48",2015,2023,"dhsc_tdel","real_values","fyear","outtrun",160829.93919881,"outtrun",200764.306469662,0.0281108694388756
"49",2016,2023,"dhsc_tdel","real_values","fyear","outtrun",162159.350316493,"outtrun",200764.306469662,0.0309775663391065
"50",2017,2023,"dhsc_tdel","real_values","fyear","outtrun",166203.1756148,"outtrun",200764.306469662,0.0319877233335704
"51",2018,2023,"dhsc_tdel","real_values","fyear","outtrun",166706.034051496,"outtrun",200764.306469662,0.0378797454286532
"52",2019,2023,"dhsc_tdel","real_values","fyear","outtrun",175146.257534062,"outtrun",200764.306469662,0.0347165849942535
"53",2020,2023,"dhsc_tdel","real_values","fyear","outtrun",229145.769173605,"outtrun",200764.306469662,-0.0431183639058548
"54",2021,2023,"dhsc_tdel","real_values","fyear","outtrun",224598.448636889,"outtrun",200764.306469662,-0.0545471499140797
"55",2022,2023,"dhsc_tdel","real_values","fyear","outtrun",204085.37555282,"outtrun",200764.306469662,-0.0162729400583537
"56",2013,2024,"dhsc_tdel","real_values","fyear","outtrun",153771.749920612,"planned",210217.834788115,0.028832840054527
"57",2014,2024,"dhsc_tdel","real_values","fyear","outtrun",156559.532831336,"planned",210217.834788115,0.0299093578147718
"58",2015,2024,"dhsc_tdel","real_values","fyear","outtrun",160829.93919881,"planned",210217.834788115,0.0302023064823687
"59",2016,2024,"dhsc_tdel","real_values","fyear","outtrun",162159.350316493,"planned",210217.834788115,0.0329776983903989
"60",2017,2024,"dhsc_tdel","real_values","fyear","outtrun",166203.1756148,"planned",210217.834788115,0.0341314562803423
"61",2018,2024,"dhsc_tdel","real_values","fyear","outtrun",166706.034051496,"planned",210217.834788115,0.0394087611178955
"62",2019,2024,"dhsc_tdel","real_values","fyear","outtrun",175146.257534062,"planned",210217.834788115,0.0371790583089704
"63",2020,2024,"dhsc_tdel","real_values","fyear","outtrun",229145.769173605,"planned",210217.834788115,-0.0213228944253392
"64",2021,2024,"dhsc_tdel","real_values","fyear","outtrun",224598.448636889,"planned",210217.834788115,-0.0218151426873366
"65",2022,2024,"dhsc_tdel","real_values","fyear","outtrun",204085.37555282,"planned",210217.834788115,0.0149130500477368
"66",2023,2024,"dhsc_tdel","real_values","fyear","outtrun",200764.306469662,"planned",210217.834788115,0.0470876944447389
"67",2013,2025,"dhsc_tdel","real_values","fyear","outtrun",153771.749920612,"planned",217000,0.0291182141713471
"68",2014,2025,"dhsc_tdel","real_values","fyear","outtrun",156559.532831336,"planned",217000,0.030123063301347
"69",2015,2025,"dhsc_tdel","real_values","fyear","outtrun",160829.93919881,"planned",217000,0.0304081465188364
"70",2016,2025,"dhsc_tdel","real_values","fyear","outtrun",162159.350316493,"planned",217000,0.032898213952838
"71",2017,2025,"dhsc_tdel","real_values","fyear","outtrun",166203.1756148,"planned",217000,0.0338976591533611
"72",2018,2025,"dhsc_tdel","real_values","fyear","outtrun",166706.034051496,"planned",217000,0.0383848540963863
"73",2019,2025,"dhsc_tdel","real_values","fyear","outtrun",175146.257534062,"planned",217000,0.0363580185482786
"74",2020,2025,"dhsc_tdel","real_values","fyear","outtrun",229145.769173605,"planned",217000,-0.0108330936149804
"75",2021,2025,"dhsc_tdel","real_values","fyear","outtrun",224598.448636889,"planned",217000,-0.00856728522586547
"76",2022,2025,"dhsc_tdel","real_values","fyear","outtrun",204085.37555282,"planned",217000,0.0206635753891424
"77",2023,2025,"dhsc_tdel","real_values","fyear","outtrun",200764.306469662,"planned",217000,0.0396487015032885
"78",2024,2025,"dhsc_tdel","real_values","fyear","planned",210217.834788115,"planned",217000,0.0322625585917604
"79",2013,2026,"dhsc_tdel","real_values","fyear","outtrun",153771.749920612,"planned",221727.434402743,0.028552288968452
"80",2014,2026,"dhsc_tdel","real_values","fyear","outtrun",156559.532831336,"planned",221727.434402743,0.0294256681189491
"81",2015,2026,"dhsc_tdel","real_values","fyear","outtrun",160829.93919881,"planned",221727.434402743,0.0296212638765321
"82",2016,2026,"dhsc_tdel","real_values","fyear","outtrun",162159.350316493,"planned",221727.434402743,0.0317815165618671
"83",2017,2026,"dhsc_tdel","real_values","fyear","outtrun",166203.1756148,"planned",221727.434402743,0.032544794547358
"84",2018,2026,"dhsc_tdel","real_values","fyear","outtrun",166706.034051496,"planned",221727.434402743,0.0362952655117552
"85",2019,2026,"dhsc_tdel","real_values","fyear","outtrun",175146.257534062,"planned",221727.434402743,0.0342635617444831
"86",2020,2026,"dhsc_tdel","real_values","fyear","outtrun",229145.769173605,"planned",221727.434402743,-0.00546990082705789
"87",2021,2026,"dhsc_tdel","real_values","fyear","outtrun",224598.448636889,"planned",221727.434402743,-0.0025697486231181
"88",2022,2026,"dhsc_tdel","real_values","fyear","outtrun",204085.37555282,"planned",221727.434402743,0.0209439190171203
"89",2023,2026,"dhsc_tdel","real_values","fyear","outtrun",200764.306469662,"planned",221727.434402743,0.0336598392652483
