"","date","gdp_deflator","type","deflator"
"1",2009,1.01360769996681,"fyear",1.01360769996681
"2",2010,1.01866404715128,"fyear",1.03252572187189
"3",2011,1.01832208293153,"fyear",1.05144374377697
"4",2012,1.01799242424242,"fyear",1.07036176568204
"5",2013,1.01922480620155,"fyear",1.09093926319283
"6",2014,1.0121691512017,"fyear",1.1042150680385
"7",2015,1.00691313495642,"fyear",1.11184865582476
"8",2016,1.02268656716418,"fyear",1.13707268503153
"9",2017,1.01576182136602,"fyear",1.15499502157318
"10",2018,1.02097701149425,"fyear",1.17922336541653
"11",2019,1.02392344497608,"fyear",1.20743445071357
"12",2020,1.05360087960418,"fyear",1.27215399933621
"13",2021,0.993999478215497,"fyear",1.26452041154995
"14",2022,1.07112860892388,"fyear",1.35446398937936
"15",2023,1.06101445724087,"fyear",1.43710587454364
"16",2024,1.03800899470679,"fyear",1.49172882412227
"17",2025,1.02645427142634,"fyear",1.5311914233301
"18",2026,1.01656342440055,"fyear",1.55655319671319
"19",2027,1.02036895316776,"fyear",1.58825855588017
"20",2028,1.01947224379082,"fyear",1.61918551368313
"21",2029,1.0188110617671,"fyear",1.6496441123934
