"","date","real_values","cash_values","real_per_capita","real_age_weighted"
"1",2013,1,1,1,1
"2",2014,1.0237995662212,1.03630891393443,1.01529526317506,1.00955453294695
"3",2015,1.05287050536249,1.0733862704918,1.03577386502278,1.02708823875344
"4",2016,1.08247404532185,1.1284900102459,1.05564474417944,1.04342112084058
"5",2017,1.10471363767966,1.16979380122951,1.07093117243541,1.05307640182532
"6",2018,1.10978360035274,1.1999124829235,1.06997905240021,1.0469856573307
"7",2019,1.19174758863915,1.3190637807377,1.14276009298464,1.11066751901232
"8",2020,1.31021159033532,1.52799479166667,1.25421539337519,1.2136370360113
"9",2021,1.37589638618259,1.59522284836066,1.31176143925578,1.26283654188641
"10",2022,1.35937210526995,1.68724385245902,1.28335309783986,1.22971925462532
"11",2023,1.3656533486168,1.79461236338798,1.27637063305952,1.21967233403453
"12",2024,1.42390448389395,1.94228142076503,1.31086551839778,1.2499761810714
"13",2025,1.44340900085317,2.02097207991803,1.31585384851879,1.24997113905966
"14",2026,1.50436118867607,2.14120133196721,1.36007710170982,1.28637596563045
"15",2027,1.55149299977994,2.25326588114754,1.39319458987593,1.30899457660191
"16",2028,1.59898923367084,2.3674649931694,1.4283056484697,1.33225065909062
